ID_BID,COD_UF_A,UF_A,COD_CID_A,NOME_CID_A,NIVEL_A,CLASS_A,COD_UF_B,UF_B,COD_CID_B,NOME_CID_B,NIVEL_B,CLASS_B,VAR01,VAR02,VAR03,VAR04,VAR05,VAR06,VAR07,VAR09,VAR10,VAR11,VAR12,VAR13
13026034106902,13,AM,1302603,Manaus,1C,Metrópole,41,PR,4106902,Arranjo Populacional de Curitiba/PR,1C,Metrópole,2182763,78192321,3468575,155501098,11483,1374,168,0,38736,0,0,2105
13026033106200,13,AM,1302603,Manaus,1C,Metrópole,31,MG,3106200,Arranjo Populacional de Belo Horizonte/MG,1C,Metrópole,2182763,78192321,5199352,183769975,3610,44606,23,515,1169,251501,0,2078
13026031302702,13,AM,1302603,Manaus,1C,Metrópole,13,AM,1302702,Manicoré,5,Centro Local,2182763,78192321,55751,528955,275,1175,0,0,0,4,0,0
13026031303601,13,AM,1302603,Manaus,1C,Metrópole,13,AM,1303601,Santa Isabel do Rio Negro,5,Centro Local,2182763,78192321,25156,137548,1248,0,0,0,267,0,0,0
13026031303908,13,AM,1302603,Manaus,1C,Metrópole,13,AM,1303908,São Paulo de Olivença,5,Centro Local,2182763,78192321,39299,251094,955,0,0,0,695,0,0,0
13026032927408,13,AM,1302603,Manaus,1C,Metrópole,29,BA,2927408,Arranjo Populacional de Salvador/BA,1C,Metrópole,2182763,78192321,3824239,117996716,27341,6888,0,0,1878531,0,0,0
13026035208707,13,AM,1302603,Manaus,1C,Metrópole,52,GO,5208707,Arranjo Populacional de Goiânia/GO,1C,Metrópole,2182763,78192321,2499746,72436719,1396,0,0,0,7870,0,0,0
13026033170206,13,AM,1302603,Manaus,1C,Metrópole,31,MG,3170206,Uberlândia,2B,Capital Regional B,2182763,78192321,691305,37442791,87,0,0,0,0,0,0,0
13026035002704,13,AM,1302603,Manaus,1C,Metrópole,50,MS,5002704,Campo Grande,2A,Capital Regional A,2182763,78192321,895982,29177496,3632,3546,0,0,1670,25,0,0
13026035100250,13,AM,1302603,Manaus,1C,Metrópole,51,MT,5100250,Alta Floresta,3B,Centro Sub-Regional B,2182763,78192321,51782,1458249,0,0,0,2,0,0,0,187
13026031504208,13,AM,1302603,Manaus,1C,Metrópole,15,PA,1504208,Marabá,2C,Capital Regional C,2182763,78192321,279349,8780799,0,0,0,18,0,0,0,0
13026031505536,13,AM,1302603,Manaus,1C,Metrópole,15,PA,1505536,Parauapebas,3A,Centro Sub-Regional A,2182763,78192321,208273,15995450,157,0,0,0,0,0,0,0
13026031508100,13,AM,1302603,Manaus,1C,Metrópole,15,PA,1508100,Tucuruí,3B,Centro Sub-Regional B,2182763,78192321,113659,7481954,125,0,0,0,0,0,0,0
13026034108304,13,AM,1302603,Manaus,1C,Metrópole,41,PR,4108304,Arranjo Populacional Internacional de Foz do Iguaçu/Brasil - Ciudad del Este/Paraguai,2C,Capital Regional C,2182763,78192321,281997,15199292,3234,0,0,0,0,0,0,0
13026034115200,13,AM,1302603,Manaus,1C,Metrópole,41,PR,4115200,Arranjo Populacional de Maringá/PR,2B,Capital Regional B,2182763,78192321,645970,23785501,0,1020,0,0,0,0,0,0
13026032800308,13,AM,1302603,Manaus,1C,Metrópole,28,SE,2800308,Arranjo Populacional de Aracaju/SE,2A,Capital Regional A,2182763,78192321,1063238,23686047,341,197,0,0,7088,0,0,0
13026033549904,13,AM,1302603,Manaus,1C,Metrópole,35,SP,3549904,Arranjo Populacional de São José dos Campos/SP,2B,Capital Regional B,2182763,78192321,1610200,83962169,0,96,0,0,0,0,0,640
13026031702109,13,AM,1302603,Manaus,1C,Metrópole,17,TO,1702109,Araguaína,2C,Capital Regional C,2182763,78192321,180470,4387503,161,0,0,0,0,0,0,0
