degree,strength,betweenness,betweenness_w,closeness,closeness_w,cities,dates
0.47540983606557374,0.5081967213114754,0.45901639344262296,0.47540983606557374,0.4426229508196721,0.4918032786885246,Afuá/PA,2020-04-17
0.46774193548387094,0.5,0.45161290322580644,0.46774193548387094,0.45161290322580644,0.5161290322580645,Alcântara/MA,2020-04-18
0.4603174603174603,0.49206349206349204,0.4603174603174603,0.4603174603174603,0.4603174603174603,0.5079365079365079,Santa Isabel do Rio Negro/AM,2020-04-18
0.46875,0.515625,0.46875,0.484375,0.453125,0.5,Canutama/AM,2020-04-19
0.47692307692307695,0.5230769230769231,0.46153846153846156,0.47692307692307695,0.4461538461538462,0.49230769230769234,Juruá/AM,2020-04-19
0.4696969696969697,0.5151515151515151,0.45454545454545453,0.48484848484848486,0.4393939393939394,0.5,Salvaterra/PA,2020-04-19
0.4626865671641791,0.5074626865671642,0.44776119402985076,0.47761194029850745,0.44776119402985076,0.4925373134328358,Santa Cruz do Arari/PA,2020-04-19
0.45588235294117646,0.5147058823529411,0.47058823529411764,0.5,0.45588235294117646,0.5,Autazes/AM,2020-04-20
0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5072463768115942,0.4782608695652174,0.5217391304347826,Breves/PA,2020-04-20
0.4857142857142857,0.5285714285714286,0.4857142857142857,0.5,0.5,0.5428571428571428,Oriximiná/PA,2020-04-20
0.49295774647887325,0.5352112676056338,0.49295774647887325,0.5070422535211268,0.49295774647887325,0.5352112676056338,São Sebastião da Boa Vista/PA,2020-04-21
0.5,0.5555555555555556,0.5138888888888888,0.5277777777777778,0.4861111111111111,0.5416666666666666,Beruri/AM,2020-04-21
0.5205479452054794,0.5616438356164384,0.5205479452054794,0.5342465753424658,0.4931506849315068,0.547945205479452,Maraã/AM,2020-04-22
0.527027027027027,0.5675675675675675,0.527027027027027,0.5540540540540541,0.5135135135135135,0.5540540540540541,Nova Olinda do Norte/AM,2020-04-22
