degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
41,2,1304062.0,196,91.0961538461538,4317509.0,76,0.0,1507300.0,70,0.0,1502509.0,60,0.3593073593073593,1702109.0,184,0.02385393609289549,4118204.0
42,2,1302900.0,161,88.1923076923077,3503208.0,77,0.0,4208203.0,71,0.0,1502707.0,174,0.3562231759656652,5101803.0,37,0.023740178161346298,1301209.0
61,2,1500404.0,198,84.5192307692308,4322400.0,78,0.0,1503903.0,72,0.0,1505437.0,26,0.35319148936170214,1500602.0,68,0.023726083574524687,1600279.0
65,2,1501808.0,151,76.92307692307689,3301009.0,79,0.0,5213087.0,73,0.0,1505502.0,44,0.3524416135881104,1303403.0,64,0.0236318986828885,2105302.0
80,2,5103353.0,37,71.94230769230764,1301209.0,80,0.0,5103353.0,74,0.0,1506138.0,49,0.3524416135881104,1503606.0,90,0.023462323563707328,2207702.0
82,2,5107859.0,36,69.61538461538461,1301001.0,81,0.0,1709500.0,75,0.0,1506708.0,151,0.3524416135881104,3301009.0,200,0.023384462011085398,4321501.0
86,2,3502804.0,38,66.44230769230771,1301407.0,82,0.0,5107859.0,76,0.0,1507300.0,111,0.3516949152542373,2910800.0,62,0.023378635307372716,1504802.0
90,2,2207702.0,32,63.2692307692308,1303809.0,83,0.0,2102804.0,77,0.0,4208203.0,112,0.3516949152542373,2919306.0,208,0.023346071980115807,5107958.0
95,2,2408003.0,174,58.961538461538495,5101803.0,86,0.0,3502804.0,78,0.0,1503903.0,201,0.35095137420718814,5100201.0,207,0.02333950709080831,5101407.0
105,2,2605459.0,206,58.59615384615388,5105150.0,87,0.0,2103307.0,79,0.0,5213087.0,206,0.35095137420718814,5105150.0,61,0.023027202082905388,1500404.0
106,2,2510808.0,109,50.5769230769231,2924009.0,88,0.0,2108207.0,81,0.0,1709500.0,202,0.3494736842105263,5102702.0,185,0.022861683109316026,4128203.0
111,2,2910800.0,90,47.03846153846153,2207702.0,90,0.0,2207702.0,82,0.0,5107859.0,203,0.3494736842105263,5107040.0,193,0.022645528741090142,4304408.0
112,2,2919306.0,208,45.807692307692314,5107958.0,92,0.0,2507507.0,83,0.0,2102804.0,106,0.3487394957983193,2510808.0,63,0.022623865137441558,1505106.0
125,2,2931350.0,114,44.2692307692308,3170701.0,95,0.0,2408003.0,86,0.0,3502804.0,208,0.3487394957983193,5107958.0,178,0.02248039606332638,4105508.0
130,2,3104007.0,112,44.00000000000002,2919306.0,96,0.0,2304103.0,87,0.0,2103307.0,210,0.3487394957983193,5105259.0,180,0.022346600117014167,4127106.0
